antibiotic,CDS
meropenem,NZ_CAADLL010000979.1_1
meropenem,NZ_CAADLL010000986.1_1
meropenem,NZ_CAADLM010000777.1_10
meropenem,NZ_CAADLO010000105.1_23
meropenem,NZ_CAADLO010000632.1_3
meropenem,NZ_CAADLP010000944.1_3
meropenem,NZ_CAADLR010000516.1_4
meropenem,NZ_CAADLS010000262.1_10
meropenem,NZ_CAADLT010000100.1_17
meropenem,NZ_CAADLT010000369.1_6
meropenem,NZ_CAADLU010000003.1_2
meropenem,NZ_CAADLV010000411.1_4
meropenem,NZ_CAADLV010000753.1_9
meropenem,NZ_CAADLV010000826.1_2
meropenem,NZ_CAADLW010000238.1_15
meropenem,NZ_CAADLY010001406.1_1
meropenem,NZ_CAADLZ010000455.1_4
meropenem,NZ_CAADMA010000039.1_40
meropenem,NZ_CAADMA010000119.1_1
meropenem,NZ_CAADMA010000251.1_19
meropenem,NZ_CAADMA010000251.1_4
meropenem,NZ_CAADMA010000366.1_3
meropenem,NZ_CAADMA010000407.1_16
meropenem,NZ_CAADMA010000527.1_4
meropenem,NZ_CAADMA010000677.1_1
meropenem,NZ_CAADMC010000001.1_18
meropenem,NZ_CAADMC010000202.1_2
meropenem,NZ_CAADMC010000740.1_2
meropenem,NZ_CAADMD010000380.1_14
meropenem,NZ_CAADMD010000380.1_15
meropenem,NZ_CAADMD010000720.1_1
meropenem,NZ_CAADME010000120.1_25
meropenem,NZ_CAADMG010001153.1_1
meropenem,NZ_CAADMH010000816.1_1
meropenem,NZ_CAADMI010000961.1_1
meropenem,NZ_CAADMM010000015.1_3
meropenem,NZ_CAADMM010000015.1_31
meropenem,NZ_CAADMM010000167.1_7
meropenem,NZ_CAADMM010000167.1_9
meropenem,NZ_CAADMR010000895.1_7
meropenem,NZ_CAADMV010000255.1_19
meropenem,NZ_CAADMW010000025.1_7
meropenem,NZ_CAADMW010000072.1_7
meropenem,NZ_CAADMW010000072.1_8
meropenem,NZ_CAADMW010000753.1_5
meropenem,NZ_CAADMY010000663.1_1
meropenem,NZ_CAADMY010000822.1_2
meropenem,NZ_CAADMY010001419.1_1
meropenem,NZ_CAADNA010000505.1_1
meropenem,NZ_CAADNA010001280.1_2
meropenem,NZ_CAADND010000030.1_1
meropenem,NZ_CAADNE010000030.1_8
meropenem,NZ_CAADNE010000244.1_1
meropenem,NZ_CAADNE010000372.1_2
meropenem,NZ_CAADNG010000561.1_2
meropenem,NZ_CAADNH010000067.1_31
meropenem,NZ_CAADNH010000079.1_3
meropenem,NZ_CAADNH010000665.1_13
meropenem,NZ_CAADNH010000665.1_14
meropenem,NZ_CAADNH010000784.1_5
meropenem,NZ_CAADNH010000784.1_6
meropenem,NZ_CAADNH010000877.1_3
meropenem,NZ_CAADNH010001104.1_1
meropenem,NZ_CAADNI010000928.1_1
meropenem,NZ_CAADNJ010000775.1_11
meropenem,NZ_CAADNK010000329.1_1
meropenem,NZ_CAADNK010000377.1_2
meropenem,NZ_CAADNM010000175.1_48
meropenem,NZ_CAADNO010000197.1_8
meropenem,NZ_CAADNO010000307.1_1
meropenem,NZ_CAADNO010000489.1_3
meropenem,NZ_CAADNQ010000679.1_1
meropenem,NZ_CAADNS010000452.1_1
meropenem,NZ_CAADNS010000567.1_2
meropenem,NZ_CAADNT010000227.1_19
meropenem,NZ_CAADNT010000249.1_4
meropenem,NZ_CAADNU010000920.1_1
meropenem,NZ_CAADNU010000920.1_2
meropenem,NZ_CAADNW010000257.1_4
meropenem,NZ_CAADNW010000769.1_2
meropenem,NZ_CAADNW010000827.1_3
meropenem,NZ_CAADNW010000871.1_3
meropenem,NZ_CAADNW010001002.1_1
meropenem,NZ_CAADNW010001013.1_2
meropenem,NZ_CAADNW010001102.1_4
meropenem,NZ_CAADNW010001287.1_2
meropenem,NZ_CAADNW010001298.1_2
meropenem,NZ_CAADNW010001310.1_2
meropenem,NZ_CAADNW010001315.1_1
meropenem,NZ_CAADNX010000077.1_56
meropenem,NZ_CAADNY010000674.1_1
meropenem,NZ_CAADNZ010000106.1_4
meropenem,NZ_CAADOA010000491.1_2
